Defect ID,Date Recorded,Defect Description,Error-Prone Scenario Analysis,Human Error Modes,,
231,N/A,HTTP request body element did not have a consistent structure ,"An HTML form had a section that could have 0 or more entries, which were structured as either a single value if 1 entry was present or an array of values if multiple entries were present. I did not know this, so attempting to retrieve the section as a single value every time or an array every time didn’t function properly",Lack of knowledge,,
232,N/A,Students drawing patterns with turtles in python did not change the color of their drawing at all because this was a sub-goal of the lab requirements and changing the color of the turtle did not at all affect its functionality.,,Post-Completion Error,,
233,N/A,"Students using python turtle functionalities are used to utilizing the name of their turtle object in functions, such as MyTurtleName.left(180). However, in the case of Turtle.Tracer() they often wrongly used MyTurtleName.Tracer() since this is an uncommon use case where they are calling the turtle module rather than their personal turtle.",,Applying “strong-but-now-wrong” rule,,
234,N/A,"In a program which asks students to represent their knowledge of if statements and boolean logic, there are five possible logical statements that need to be evaluated. One if someone is eligible for representative based on both minimum correct age and years_citizen, one if someone is eligible for senator based on both minimum correct age and years_citizen, one if someone is eligible for representative but not senator, and one if they don’t meet either of these requirements. In many cases, students did not account for the situation in which a person might be eligible for only representative but not server, and thus their program logic defaulted to the “else” statement saying they don’t meet either of the requirements",,Biased review,,
235,N/A," Students were asked to generate an ASCII triangle which created a new line after each line print so their artwork was continuous. However, the program requirements ask that if the drawing was complete, do not print a final new line. Many students failed this requirement because it was sub-goal that did not affect the functionality, but failed to take it into consideration when creating their program.",,Post-Completion Error,,
236,N/A,"When creating turtle drawings, students set their colormode to RGB. The requirements specified the drawing to have some sort of gradient element to it, so often students will have incremental loops to add coloring as the lines are being made. However, many students did not consider cases in which the incremental looping exceeds the color mode (i.e. less than 0 or greater than 255) and thus their program threw an error.",,Biased review,,
237,N/A,I had to search up turtle documentation when encountering issues such as how to make an ellipsis using the built-in circle function in the turtle module,,Lack of knowledge,,
238,N/A,"Students often confused the use of similar-looking functions such as color(), fillcolor(), and/or pencolor() which all are similar but do slightly different things",,Perceptual confusions,,
239,N/A,"Students were asked to draw a geometric shape by repeatedly turning the turtle at a certain angle and moving forward in multiple nested loops. Many students correctly set up the loop but forgot to include the final turtle.hideturtle() command required by the rubric. The omission did not affect the drawing’s correctness but failed the requirement checklist, since hiding the turtle was merely a sub-goal of the requirements but does not affect the functionality of the turtle program.",,Post-Completion Error,,
240,N/A,"Students called turtle.update() inside a loop, causing their program to lag or draw slowly because the screen was being redrawn after every line segment instead of once at the end. This happened because they were following a familiar pattern of updating after each change (as done in other projects), not realizing that in this context, it should only be done once. Additionally, this meant that they no longer were fulfilling the program requirements stating that their program should run and finish within only a few seconds",,Applying “strong-but-now-wrong” rule,,
241,N/A,"Students (and myself) accidentally typed fw() instead of forward() or fd() when instructing the turtle to move. Since fw() is not a defined function in the turtle module, this caused a NameError. This slip typically occurred when students were typing quickly, thinking “forward,” and abbreviated it inconsistently, showing a mismatch between their intention and their motor execution.",,Perceptual confusions,,
242,10/30/2025,I miscounted the number of coins needed to solve a Dynamic Programming Problem,"I arrived at the first solution available to me as opposed to the best solution.",Selectivity,,
243,10/2/2025,"When solving the fractal problem I failed to realize what higher level fractals looked like due to the exponential nature of fractal growth.","I couldn’t wrap my head around what that fractal might look like.",Difficulties with exponential developments,,
244,11/12/2025,"Forgot to include a new line character between printing elements in an array.","I was focused on broken code to print an array, and forgot to include my own code to print a new line.",Post-Completion Error,,
245,11/10/2025,Forgot to account for a null root node when coding a function to search a tree.,"I had simply forgotten about the edge case when the program would be passed bad input, as I assumed that just wouldn’t happen.",Biased review,,
246,11/7/2025,Forgot to include breaks in my switch statement.,I forget about this basically every time I write a switch statement.,Post-Completion Error,,
247,11/1/2025,"When programming physics logic in Unity I called physics changes in Update() instead of FixedUpdate().","Update() updates based on your framerate while FixedUpdate() updates based on time, and tying game physics to framerate is not a good idea. I was unaware that Update() was frame based and just assumed it was time based.",Lack of knowledge,,
248,11/1/2025,When programming player movement in Unity I accidentally gave the player control of their Y-axis when they shouldn’t.,"I misunderstood that the default controls for a 2D game in Unity were designed for a top down game, not a platformer, so pressing W or S on the keyboard while holding A or D would cause them to move slower even when those buttons shouldn’t be doing anything.",Lack of knowledge,,
249,10/20/2025,My friend learning programming mistook “==” for “=”.,"She had not formally learned about booleans, and as a result thought “==” was just a spelling mistake.",Rule encoding deficiencies,,
250,11/9/2025,"My friend learning programming had not formally learned what a method was and could not program one by herself.","Her only practice programming was using methods where the skeleton code was already written for her, so when it came time to write her own she had no idea how to do it",Lack of knowledge,,
251,11/9/2025,My friend learning programming had an extra } in her program.,"Her IDE did not tell her about the extra bracket, and she was stuck for a while without my help.",Perceptual confusions,,
252,11/2/2025," I used the wrong variable name in a function. The function was created to select an item after the cursor was hovering over it for a set time. This was done by having a boolean variable for when an item was being selected, and a boolean for when the item had actually been selected. The boolean variable names are itemSelecting and itemSelected. These names are similar so when using the visual studios autofile I accidentally filled in using the incorrect variable because itemSelected is higher in the alphabetical order and I just picked the first thing that looked correct.",This was a Perceptual confusions because I mistook one object for the other.  ,Perceptual confusions,,
253,11/6/2025,I added the wrong prefab object to a Unity scene. A prefab is a blueprint object that can be created then easily duplicated. I added a FacultyObject instead of an EventObject to the scene. The two objects look the same until they have their UI updated during runtime from a webscraper.,This was another Perceptual confusions because I mistook one object for the other.    ,Perceptual confusions,,
254,11/2/2025,"I used the Console.WriteLine function in a Unity C# script, which is the usual function used to print to console, however in this specific situation I was needing my output to be printed to the debug console, which Console.WriteLine does not print to, I instead needed to use Debug.Log.",This was a case of “Strong-but-now-wrong ” because Console.WriteLine is used in most C# programs but was the incorrect choice for this specific situation. ,Applying “strong-but-now-wrong” rule,,
255,11/4/2025,"While working on a Unity project I deleted a script that was causing issues during debugging another script. I thought that like most programming environments I could undo any deletions I make so that I can check if something is fixed then undo any changes. However, in Unity you cannot undo a script deletion, so I needed to use my version control to recover the script.",This was another case of “Strong-but-now-wrong ” because I am used to being able to undo deletions but I could not in this case. ,Applying “strong-but-now-wrong” rule,,
256,11/8/2025,"I used a Vector3 in a function that required a Vector2. I misremembered the function parameters and thought it needed a Vector3, but it required a Vector2.",This was a case of Rule Encoding Deficiency because I have used this function before and thought that I knew what parameters that it needed but I was incorrect in my recollection.,Rule encoding deficiencies,,
257,11/9/2025,"I used the wrong Raycast type in a function. I needed a Physics Raycast but I used a basic Raycast. I thought that a basic Raycast would interact with the world objects that I needed it to, but it did not interact so I needed to use the Physics Raycast.","This was another case of Rule Encoding Deficiency because I misremembered how the object type functioned, thinking that a basic Raycast could do things it could not. ",Rule encoding deficiencies,,
258,11/5/2025,"I used a script from a Unity package to get depth data from a Kinect camera, however the script also set the objects that are no longer in view to inactive. This caused a problem with another one of my functions that used a reference to those Kinect objects, but when the object is set to inactive the reference becomes null, so it causes a Null Reference Exception.",This was a Lack of Knowledge error because I was not aware of that portion of the script due to it being the first time I have used this program. ,Lack of knowledge,,
259,11/6/2025," I was having issues with my Kinect script picking up objects in the background and causing the users data to sometimes jitter and move sporadically. I tried to fix the issue myself to limited success, but after looking more into the Unity package I was using I found a function that helped remove background interference that was off by default.",This was a lack of knowledge error because I was unaware of an important feature in the package that could have prevented the bugs in my code.,Lack of knowledge,,
260,11/9/2025, I added an object to my Unity scene that was too large. I focused on placing it to the correct location it needed to be for it to interact with the other objects in the scene but I did not account for the scale of the object. The object was too large and needed to be scaled down for it to interact properly.,"This was a selectivity error since the object's positioning took my full focus, resulting in me not noticing the scaling issue until it was a problem during runtime. ",Selectivity,,
261,11/11/2025," I used a function from a script written by my group member that used a touchscreen object to take touch input. This script also had a function that registered swipes based on an input vector parameter. I used this function to make my Kinect based motion swipes to have the same swipe magnitude as the touch swipes. This worked perfectly on the touchscreen monitor we were testing on, but it caused a null error when I ran it on my non-touchscreen laptop.","This is both a Biased review and a Confirmation bias because I thought everything was accounted for, as well as believing that because it worked on one machine it would work on the other. ","Biased review, Confirmation bias",,
262,10/27/2025,"Didn’t know how extreme the data was in my ML dataset so I didn’t know to increase my model comlexity. I thought, “I’m already at an order 5 polynomial feature expansion, there’s no way I would need to go higher.”",IF Current task requires extracting a relation between degree of model complexity and degree of data complexity WHEN The actual relation belongs to models in the families of “y = x^d” or “ y = d^x”; THEN People tend to construct wrong models in the Family of “y = ax”.,Difficulties with exponential developments,,
263,10/18/2025,"I had difficulty understanding how the loop structure would be implemented in practice regarding the looping of Epochs vs Updates vs Minibatchs etc. “Is an update a subset of an epoch? Are epoches based on how many minibatches are processed?”",IF loop structure requires rule A WHEN Rule A doesn’t exist (can’t copy code from the internet to figure out the loop structure) THEN Loop structure is programmed wrong resulting in model training bugs,Lack of knowledge,,
264,10/20/2025,"There were a few additional places in my assignment where I planned to add error handling. I forgot to add them and turned the assignment in.","There were a list of tasks to complete the assignment. Some of the error checking was delegated to a final task. It wasn’t necessary for a functional program so I submitted the assignment leaving out that final task",Post-Completion Error,,
265,10/20/2025,"I was translating my math notes on gradients to gradients in my ML homework. I forgot to divide the gradient by 2. My program still trained correctly but the gradients were twice as strong. This made the bug tricky to find","I had the rule in front of me (the mathematical formula for gradients), but I misapplied the rule/formula",Rule encoding deficiencies,,
266,11/10/2025,"In KPL, there are multiple different syntax styles for declaring an array of integers vs an array of objects. I did the wrong style for an array of objects and got some compiler errors",I misapplied the syntax rule of the language,Rule encoding deficiencies,,
267,11/10/2025,I went from programming in KPL to python where indenting is enforced by the compiler. I got a squiggly line error and quickly fixed it,I mistakenly confused the incorrect indentation for being fine,Perceptual confusions,,
268,N/A,"I had numerous skilled-based errors. I mistook “=” for “==”. I accidentally typed one too many 0s when assigning a constant. etc.",Various skill based errors cause by slips rather than error prone scenarios,"Perceptual confusions, Omissions following interruptions",,
269,11/10/2025,"This is a bit of a stretch but… There were numerous examples in a recent KPL assignment where we were provided hints but the hints often caused more confusion than help. The assignment description was stuffed with details so when I focused my attention on what needed to be done, I focused more on the tips (that weren’t that helpful) than the actual problem space. I could have written better code with less bugs if I focused on the important problem defining details than the tips that begged for attention.","In a sea of directions for coding the assignment, the professor-provided tips were more psychologically salient but less useful than the important details buried in a 18 page assignment description.",Selectivity,,
270,11/11/2025,In my KPL assignment I completed yet another PCE. I forgot to submit a supplementary material to the main program. We were asked to record a terminal script showing our program’s outputs. I forgot to do this.,Terminal recording was the last task for the homework assignment. The program correctness did not rely on the last task being done so it was mistakenly omitted.,Post-Completion Error,,
271,11/10/2025,"I took a break and came back to programming and skipped an important skip when writing a function.","Due to taking a quick break and pick back up ahead of where I left off",Omissions following interruptions,,
272,10/28/2025,ArrayIndexO utOfBounds Exception in for-loop (i <= arr.length),Under time pressure reused habitual loop pattern; applied familiar boundary rule without checking; accessed arr[arr.length],Applying “strong-but-now-wrong” rule,,
273,10/29/2025,NullPointerE xception on user.getEma il() (repo returned null).,Assumed non-null due to previous API experience; over-generaliz ed rule; skipped null-check,Applying “strong-but-now-wrong” rule,,
274,10/31/2025,Race condition using shared ArrayList across threads,"Treated single-thread pattern as sufficient; lacked thread safety knowledge; concurrent writes caused CME.",Lack of knowledge,,
275,11/1/2025,"Used == instead of .equals() for string, branch failed",Transferred primitive equality habit to object comparison; rule worked before but not here.,Applying “strong-but-now-wrong” rule,,
276,11/2/2025,Misordered if -else c o n ditio n s; specific range neve r e x e c u t e d. ,Focused on salient case; o v e rlo o k e d o r d e rin g e ff e c t; selectivit y bia s le d t o u n r e a c h a ble b r a n c h. ,Selectivity,,
277,11/4/2025,Integer division truncation (count/total* 100 -> 0) ,Assume d r e aln u m b e r a rit h m e tic; lacked cas tin g k n o wle d g e; underestim a t e d in t e g e r divisio n b e h a vio r. ,Lack of knowledge,,
278,11/6/2025,R e s o u r c e leak-didn't close InputStrea m a ft e r e a rly r e t u re s o u r c e leak-didn't close InputStrea m a ft e r e a rly r e t u r n,"A ft e r s u c c e s s, considered task complete; omitted closing sub-goal; classic post-completi on error. ",Post-Completion Error,,
279,11/7/2025,F o r g o t t o r e -initializ e field a ft e r interruptio n; later NPE.,"Sla c k m e s s a g e interrupte d flo w; r e s u m e d mid - e dit; skipped o n e s t e p",Omissions following interruptions,,
280,11/8/2025,R e g e x did n’t m a t c h “ \\ d + ” n e e d e d “ \\\\ d + ”,Mis - e n c o d e d e s c a pin g r ule b e t w e e n J a v a s t rin g a n d r e g e x; r ule e n c o din g d e ficie n c y,Rule encoding deficiencies,,
281,11/10/2025,Bin a r y s e a r c h lo o p n e v e r t e r min a t e s fo r s o m e inputs,Im ple m e n t e d f r o m m e m o r y; skipped edge-case testing; assumeda common cases sufficient.,Biased review,,
282,10/30/2025,"Was trying to kill a process and did not kill the correct one, but rather a similarly named one",I killed the clamav process instead of the clamavd process because they had very similar names and were right next to each other,Perceptual confusions,,
283,10/30/2025,Didn’t use the scp terminal command in the correct location,"I used the scp function to attempt to copy a file from the remote machine to my local one, but I ran the scp function on the remote machine rather than the local one",Applying “strong-but-now-wrong” rule,,
284,10/31/2025,"Forgot a + inside a print statement with multiple pieces","I was writing a print statement with multiple components that had to be appended with the + operator, and I was on autopilot and forgot to add it",Selectivity,,
285,10/31/2025,Me s s e d up l ay e r o n a b u t t o n s o i t o n ly w o rke d o n 1 /6 th of th e b u t t o n,"P ro gr a m m i n g a b u t t o n b u t th e l ay e r th a t de t e c t e d th e c l i c ks w a s n ’t th e r igh t s iz e , s o i t o n ly c o v e re d ~ 1 /6 th of th e a c t u a l i n t e n de d s iz e of th e b u t t o n b e c a u s e d i dn ’t kn o w t o i n c l u de a s iz e c h a n g e v a r i a b l e",Rule encoding deficiencies,,
286,11/3/2025,"In s t a l l e d th e w ro n g l i n ux v e rs i o n p a c ka g e of C l a mA V","I w a s o n a u t op i l o t i n s t a l l i n g dep e n de n c i e s th a t w h e re l i n ux d is t r i b u t i o n a gn o s t i c , a n d i n s t a l l e d c l a mA V th e s a m e w ay, b u t u n l i ke th e o th e rs i t is n ’t l i n ux sys t e m a gn o s t i c",Applying “strong-but-now-wrong” rule,,
287,11/3/2025,"L eft de b u g s t a t e m e n ts i n c o de aft e r I h a d a l re a dy de b u gg e d, c a u s i n g th e n ex t t e s t t o h a v e u n i n t e n de d o u tp u t",Wh i l e I w a s de b u gg i n g I w a s i n t e r r up t e d a n d w h e n o n a ~ 2 5 m i n u t e e r r a n d w i th a fr i e n d a n d w h e n I g o t b a c k I s kipp e d th e s t ep of de l e t i n g th e de b u g s t a t e m e n ts,Omissions following interruptions,,
288,11/4/2025,"Fo rg o t t o re i n i t i a l iz e a v a r i a b l e b efo re a n e w t e s t r u n , c a u s i n g o ld da t a t o p e rs is t a n d m e s s up th e re s u l ts","I a s s u m e d r u n n i n g th e t e s t a g a i n w o u ld s t a r t w i th a c l e a n s t a t e , b u t I fo rg o t th a t th e v a r i a b l e w a s de c l a re d g l o b a l ly r a th e r th a n l o c a l ly a n d s o n e v e r re s e t b e tw e e n t e s ts",Applying “strong-but-now-wrong” rule,,
289,11/4/2025,"Us e d = = i n s t e a d of = = = i n Ja v a Sc r ip t c o n d i t i o n , c a u s i n g u n exp e c t e d typ e c o e rc i o n. ","I w a s r u s h i n g th ro u gh a de b u g s t ep a n d fo l l o w e d th e h a b i t fro m Py th o n ’s e q u a l i ty op e r a t o r, fo rg e t t i n g th a t Ja v a Sc r ip t a l l o ws l o o s e c o mp a r is o n. ",Rule encoding deficiencies,,
290,11/4/2025,O v e r l o o ke d a n e dg e c a s e w h e n v a l i da t i n g u s e r i np u t a l l o w i n g a n e mp ty s t r i n g t o b e a c c ep t e d w h e n i t s h o u ldn ’t b e,Fo c u s e d o n typ i c a l u s e r i np u ts a n d d i dn ’t c o n s i de r b l a n k s u b m is s i o n s b e c a u s e I d i dn ’t th i n k th ro u gh th e fu l l r a n g e of p o s s i b l e c a s e s,Biased review,,
291,11/4/2025,A c c i de n t a l ly c o m m i t t e d th e l o c a l v e n v t o g i th u b,Us e d th e “g i t a dd .” c o m m a n d b efo re I h a d up da t e d my .gitignore to include the newly created venv because I was rushing after being interrupted by my roommate,Omissions following interruptions,,
292,10/30/2025,"Used  `strcat` on  an  uninitialized  buffer led to  a segfault",String  concatenation  was done  before  checking  buffer size,Rule encoding deficiencies,,
293,10/30/2025,"Read lines  from a text  file without  stripping  newline led  to faulty  directory  names",Used `fgets`  output without  trimming,Applying “strong-but-now-wrong” rule,,
294,11/7/2025,"Arguments  not copied  correctly  between old  and new  virtual  address  spaces,  leading to  jump failure  for an exec  function",Misunderstan ding of  assignment  instructions  regarding  physical and  virtual  memory  addressing,Lack of knowledge,,
295,11/7/2025,Used  `CopyBytes ToVirtual`  when  problem  required  manual  physical  address  extracting,Relied on  previous  assumptions  that used  CopyBytesToV irtual  elsewhere in  the codebase,Applying “strong-but-now-wrong” rule,,
296,10/30/2025,"Counting  directory  entries after  forking but  before the  other child  program  finished","Assumed  predictable  timing instead  of waiting for  child process  to finish",Difficulties with exponential developments,,
297,11/8/2025,"Exec  function  worked, but  old frames  were never  returned to  frame  manager","Focused on  getting the  main  functionality (exec) and not  the sub goals",Post-Completion Error,,
298,11/8/2025,Used `=`  for  comparison  operator in  if  statements,Misread `=`  as `==` since  both mean  “equals” in my  thought  process,Perceptual confusions,,
299,11/10/2025,Threads put  into a free  list without  resetting  their states,"Focused on  main goal (put  in list) and  forgot sub  goals",Post-Completion Error,,
300,11/10/2025,Incorrect  placement  of  `frameBeca meFree`  signal,Confusion  about where  to place the  wait and signal  for a monitor,Lack of knowledge,,
301,11/10/2025,"Incorrectly  computed  stack top  address for  new  executed  program","Exec failed  because  pointer it was  passed was  incorrect",Lack of knowledge,,
302,11/7/2025,"Added character to a numerical value for a slider, thinking it was a string variable not a year variable type. ",I did not take the time to read through the object definition and made an assumption. ,Lack of knowledge,,
303,11/7/2025,Pressed fn + z instead of command + z did not undo typing on Mac.,"Mac and Windows choose to design their keyboards with different layouts, leading to confusion. ",Perceptual confusions,,
304,11/12/2025,Output image coordinate values as negative for y after doing subtraction of locations at the bottom of the image from locations at the top of the image. ,Forgot that image coordinates are recorded as 0 at the top for y. ,Applying “strong-but-now-wrong” rule,,
305,11/12/2025,"Heatmap visualized the actual mapped area as a smaller part of the total outlined area for the map, due to coordinate displacement arrows not being normalized to their regions and going outside the actual mapped area.",Did not realize that the mapped area needed to be explicitly set to the bounds of the map and the arrows needed to be normalized. Expected the map to work in this way automatically. ,Lack of knowledge,,
306,11/10/2025,The website's continue button did not take the user to the next page.  ,Did not remember to add a separate link for a unique case,Applying “strong-but-now-wrong” rule,,
307,11/8/2025,The local host website did not open at the expected address,Had forgotten to free the port before using it again. ,Post-Completion Error,,
308,11/8/2025,The algorithm did not output the expected number of guesses for a quiz in an edge case. ,Did not explicitly make it a requirement for the algorithm to output the expected number of guesses.,Rule encoding deficiencies,,
309,11/10/2025,"Variables representing the same thing for two objects were subtracted in different orders, despite needing to be operated on in the same way.","Had improperly documented logic in a comment, leading to incorrect logic. Payed attention to the comment instead of rediriving logic. ",Confirmation bias,,
310,11/9/2025,The website's graphics looked very different on the phone. Did not properly scale the graphic to work for the phone. ,Did not know how to properly scale graphics from regular browser to mobile browser. ,Lack of knowledge,,
311,11/12/2025,Forgot to save all edits to code and it did not compile properly.  ,Was not paying full attention and wanted to finish and run code quickly.,Post-Completion Error,,
312,10/31/2025,"Did not consider all courses of action for test case","When creating a test, I did not consider erroneou s inputs for the file that I was importin g from",Biased review,,
313,10/31/2025,Wrote .size() instead of .length(),Frequentl y mix up size and length,Perceptual confusions,,
314,11/2/2025,"Did not finish writing tests","Finished writing function (main task), didn’t write correspo nding tests (subtask after main task)",Post-Completion Error,,
315,11/2/2025,Forgot a variable to include for storage,"Writing up pseudoco de for design on how to store and transfer certain variables, took a bathroom break, forgot a variable when I came back",Omissions following interruptions,,
316,11/2/2025,Did not include environm ent variables when running,"Despite including env variables, I didn’t actually load them in, thus not correctly obtaining the correct output",Rule encoding deficiencies,,
317,11/7/2025,Exposed API key to Github,"Normally add all modified files to Github, added the env which included the API key",Applying “strong-but-now-wrong” rule,,
318,11/8/2025,Used ; instead of :,"Normally use : for functions in Python, confused for ; since it looks the same and uses the same button",Perceptual confusions,,
319,11/8/2025,"Missed a key medicati on for searching API","Copying over client’ s medicati on list for searching on Pubmed and normalizi ng it, but answered a call and forgot my place when I was working and talking at the same time",Omissions following interruptions,,
320,11/8/2025,Did not follow initial client spec of including all informati on,"Client had specified certain info to be added, we edited it so that only certain info would show because we thought it would improve density of into",Selectivity,,
321,11/10/2025,Forking without exit,Forking without exit,Lack of knowledge,,
322,11/7/2025,No null terminating character in malloced memory,A string of characters is added to an allocated memory block without a null ending terminating character ,Post-Completion Error,,
323,11/11/2025,Incrementing instead of decrementing ,A loop control variable increments or decrements opposite of how its supposed to ,Rule encoding deficiencies,,
324,11/10/2025,Using wrong variables ,A variable is wrongly used for a purpose,Confirmation bias,,
325,11/3/2025,Missing free,Program does not properly free all allocated memory blocks ,Post-Completion Error,,
326,11/11/2025,Using non static function,Functions cannot interact because they are of different types ,Confirmation bias,,
327,11/11/2025,Memory overload ,A program freezes from an overuse of memory,Lack of knowledge,,
328,11/9/2025,Initializing variable with wrong value,Initializing variable with wrong value,Selectivity,,
329,11/9/2025,Swapping double nested loop control variables ,"Inside a 2D array, the loop control variables are used in the reverse order of the functions purpose.. ",Perceptual confusions,,
330,11/3/2025,Calling utime() and not statutime()  ,Calling wrong command ,Lack of knowledge,,
331,11/4/2025,"Mistyped parentheses while coding my h(x)  function, which changed the order of  operations and caused the wrong output",The task required creating a function with  the equation h(x). When writing this  function I placed the parentheses  incorrectly which affected the intended  order of operations and outputted the  wrong result,Rule encoding deficiencies,,
332,11/4/2025,Forgot to square (6x-2) inside the cosine  term while coding the derivative h`(x)  which caused the wrong output,"The task required implementing the  derivative h`(x). While translating the rule  into code I accidentally left out the  squaring of (6x-2) inside the cosine term,  which changed the formula and caused the  output to be wrong",Rule encoding deficiencies,,
333,11/4/2025,"Forgot to reset the variable evaluations  after each root finding function, so our  total evaluations carried over between  runs and it caused wrong results","Each root finding run needed a fresh  evaluation counter, but I forgot to reset it  after finishing one run. Since finding the  root was the main goal, I didn’t think about  resetting the counter afterward, which  made the totals keep adding up across  runs",Post-Completion Error,,
334,11/4/2025,"Forgot to include the forward error values  in the final output table, even though the  assignment rubric suggested showing  them(wasn’t required but was useful for  analyzation in the writeup)","The task was to compute the roots and  show the results for analysis. I mainly  focused on getting the roots to display  correctly and didn’t think much about  adding the forward error values since they  didn’t seem that important at the time.  Once I got the roots computed correctly, I  realized I should add the forward error to  the table to have more results to analyze",Selectivity,,
335,11/4/2025,"Did not realize the initial guess for Newtons  method needed to be within a specific  range for the assignment. My first guess  was outside that range causing the method  to diverge.",The assignment required choosing an  initial guess within a small range to ensure  that the method converged. I didn’t notice  that instruction at first and picked a value  too far from the true root. Because of this  Newtons method failed to converge until I  noticed my mistake.,Lack of knowledge,,
336,11/4/2025,"I kept printing results to eight decimal  places for all problems even though the  later ones were supposed to be rounded to  six. I reused the same formatting from the  first problem instead of adjusting to what  the other ones needed",The first problem required accuracy up to  eight decimal places so I formatted my  output in that way. When the following two  problems only required six digits of  accuracy I forgot to update the format and  continued using the same eight decimal  accuracy as before.,Applying “strong-but-now-wrong” rule,,
337,11/9/2025,Overwrote a text file instead of appending  to it causing the previous messages to  disappear each time a new one was  written. ,"While implementing file writing I used new  FileWriter(filename) instead of new  FileWriter(filename, true). This caused  each new message write to replace the  files contents instead of appending so only  the most recent message was saved.",Lack of knowledge,,
338,11/9/2025,When sending a message from the client  the output showed “Server response: null.”  The client connected and sent the  message but I forgot to return the servers  input after getting interrupted.,"The task was to send a message and print  the servers response. I was interrupted  while finishing the method and thought I  had completed it. When I came back I  didn’t realize I still needed to add the final  line that returned the servers response  which caused the output to show “null”.",Omissions following interruptions,,
339,N/A,When visiting a set on my deadwood  project the scenes card starring roles  didn't display correctly. I accidentally used  the sets default roles instead of the  starring roles from the scene card.,The task was to show all roles available  when a player entered a set. I retrieved the  wrong role list because I mixed up the  scene cards role with the sets extra roles.  This caused the game to show the wrong  options when the player was selecting a  role.,Rule encoding deficiencies,,
340,N/A,In my deadwood board game the move  command allowed players to move  multiple times in a single turn. Players  were only supposed to move once but I  forgot to include a restriction to prevent  extra movement.,"The controller logic was supposed to check  whether a player had already moved that  turn and block additional moves. I forgot to  update the flag that tracks movement after  a player moved, which let them move as  many times as they wanted during their  turn.",Rule encoding deficiencies,,
341,11/12/2025,"Used quoted  mixed-case column  names (`""Treatment  name""`) when  database stored  them as lowercase  with underscores  (`treatment_name`)",assumed database  column names  matched the display  format shown in  screenshot provided  by client.,Perceptual confusions,,
342,11/12/2025,"Vector similarity  query failed  because vector  column was stored  as text type, not  pgvector type. Used  `vector <=>  %s::vector` without  proper casting",applied familiar  pgvector syntax from  past projects without  checking the actual  column data type.,Applying “strong-but-now-wrong” rule,,
343,11/10/2025,"Cache returned  stale results with  limit=1 when  default limit should  be 10,000. Cache  key didn't consider  query parameters","Initial caching  implementation  achieved primary  goal (performance),  sub-goal wasn't  necessary for basic  functionality ",Post-Completion Error,,
344,11/10/2025,"Assumed database  schema structure  from discord  messages",trusted it over the  logically important  step of verifying  actual schema  through database  queries,Selectivity,,
345,11/9/2025,"Backend returned  empty results `{}`  on errors but didn't  log detailed error  information to  journald, making  debugging difficult","Error handling caught  exceptions and  printed to stdout, but  gunicorn's preload  mode and systemd  configuration didn't  capture detailed  tracebacks. didn't  realize logging wasn't  reaching journald  until testing revealed  silent failures",Lack of knowledge,,
346,11/8/2025,"Hardcoded  database credentials  in multiple  locations (app.py,  .env files) creating  security  vulnerability and  maintenance  burden","In rush to get  application working to meet deadlines,  hardcoded connection  strings. Multiple  configuration files  exist (local.env,  production.env,  backend/.env) with duplicated credentials",Rule encoding deficiencies,,
347,11/6/2025,"Filter  implementation  doesn't handle  special characters  in treatment names  when used in  search queries (e.g.,  ""Risperidone +  NAC"" might break  URL encoding)","tested with simple  medication names but  didn't consider  boundary conditions  where treatment  names contain special  characters (+, &,  parentheses).",Biased review,,
348,11/6/2025,"Frontend filter UI  loads ~100 results  and symptoms  without pagination  or search, causing  poor UX on mobile  devices",Didn’t think we  would have a lot of  papers to display.  Linear thinking.  Turns out we have  1100+ papers.,Difficulties with exponential developments,,
349,11/6/2025,Race condition in  cache  implementation - multiple concurrent  requests could  populate cache with  different results for  same key,"Simple cache uses  Python dict without  thread-safety  mechanisms. Multiple  threads running to  handle website load.  Never thought  CSCI447 would come  in handy, but boy,  was I wrong",Lack of knowledge,,
350,11/6/2025,"No validation of  vector embeddings  - if sentence_model  fails or returns  incorrect  dimensions,  database query will  fail silently",Developer  implemented happypath where  model.encode()  always succeeds.  Exception handling  returns generic error  without checking if  embedding  dimensions match  database vector  dimensions. Lack of  input validation on  ML model output.,Biased review,,
351,11/5/2025,SQL injection  vulnerability if  treatment names or  filter values contain  SQL  metacharacters and  parameterization  fails,"While parameterized  queries are used, the  filter parsing logic  (`filter_str.split(':',  1)`) doesn't check  over values before  they're incorporated  into search  embeddings. ",Lack of knowledge,,
352,11/5/2025,Memory leak  potential - search_cache and  filter_cache can  grow unbounded  with unique query combinations exceeding LRU max size,"Despite a max_size,  LRU eviction is  simplistic and with  enough unique query  combinations  memory could grow faster than expected. Growth rate underestimated",Difficulties with exponential developments,,
353,11/5/2025,"No database  connection pooling,  each API request  creates new  connection, causing  performance  degradation under  load","used  `psycopg2.connect()`  without connection  pooling. Under high  concurrent load,  connection creation  overhead may  overwhelm. Good for  small projects, not for  this.",Applying “strong-but-now-wrong” rule,,
354,11/4/2025,Bias assessment  fields displayed in  frontend might be  empty for most  studies,"checked for ""N/A""  but didn't verify all  possible empty -state  values in actual data.  Psychologically  focused on ""N/A""  pattern without  confirming all data  variations.",Confirmation bias,,
